Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted),Overperforming Score
Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Спаси София,spasisofia,100069897522611,POLITICAL_ORGANIZATION,BG,"Спаси София е политическа партия, чиято основна цел е подобряването  качеството на живот в София
",2014-12-29 14:10:51,114648,130469,2024-04-26 11:37:10 EEST,2024-04-26,11:37:10,Photo,"1,516",1022,386,12,18,3,48,1,21,5,,-,0,0,0,,https://www.facebook.com/100069897522611/posts/746167357723175,"🛑 Хайде да си кажем истината - бул. Патриарх Евтимий в момента не работи за никого: 🤯 Паркиране навсякъде, често и в три ленти, повсеместни нарушения и хаос. 🚗 Затова булевардът реално има само две ленти за движение. Те се справят с трафика и задръствания няма. ❌ Заради незаконното спиране, тролейбусите лавират, спирките са недостъпни, а нископодовите тролеи се обезсмислят, ако не спират плътно до тротоара. ⏰ Градският транспорт е бавен - средната скорост там е едва 13 км/час, въпреки че това е един от най-натоварените коридори с десетки хиляди пътници всеки ден. 🚸 Пешеходните пресичания са недостатъчни, необезопасени и без необходимата видимост. ✅ Проектът решава всички тези проблеми наведнъж. Лентите за движение остават три, паркирането се регулира, а разликата в местата е около 50 - незначително на фона на цялата зона. Тротоарите се освобождават за пешеходци, пресичанията стават безопасни, спирките - достъпни, тролеите се движат по-бързо, а новата велоалея свързва съществуващи 6 трасета в цялостна мрежа. Защото в София има място за всички!",https://www.facebook.com/photo.php?fbid=746167161056528&set=a.411095284563719&type=3,,,,,,,,"1,516",2.43
Dr. Modern Mommy,drmodernmommy,100057142762624,PERSONAL_BLOG,BG,🌸🌸🌸,2020-01-23 10:51:45,58487,59682,2024-06-11 21:30:35 EEST,2024-06-11,21:30:35,Photo,"1,151",960,32,3,154,1,0,0,0,1,,-,0,0,0,,https://www.facebook.com/100057142762624/posts/987759826472100,"Прекарай с мен един ден на остров Сицилия❤️ 1. Гледката от Villa Comunale, Таормина - един от най-китните и красиви паркове, които съм посещавала 2. Случайна гледка от опашката за билети за Teatro Antico - античният театър в Таормина (купете си онлайн, има fast lane) 3. Самият театър. Много запазен, конкурентен и напомнящ на този вкъщи🥹 4. По улиците на градчето, в което си оставих сърцето. Бих пропуснала посещение на Катания на острова, но не и на Ното - магично градче в южната част на Сицилия. 5. Главната улица на въпросното градче, точно пред Cattedrale di Noto - заслужава си и вътре. 6. Салата с портокал, червен лук, фенел (грудката на копъра) и маслини - само 4 съставки, а експлозия от вкусове - нямам търпение да пробвам да я приготвя вкъщи. Заведението е Ristorante Il Liberty, на минути от главната алея - препоръчвам го. 7. Из улиците на Ното, конкретно: Chiesa di San Domenico 8. Личната ми дефиниция за вкуса на Италия в една купичка - ягода и кафе. Правят го на място. Останалите джелатерии са капан за туристи - мястото е Pasticceria Kennedy - заслужава си! 9. Виж номер 1 10. Кой вид Dr Modern Mommy блогър предпочитате? Кулинарен, майчински, travel..? Благодаря, на който дочете до тук❤️ Има директни полети на доста достъпни цени от София до Катания. Наемът на кола е максимално опростен и бърз спрямо моя опит - взимане директно от летището, връщане точно преди полета (drop off на самото летище, пускане на ключовете в кутийка по всяко време на денонощието). Препоръчвам ви Sicily by car - много са коректни, резервацията става с app, не е нужно предплащане. В Ното има готино влакче, което обикаля най-интересните забележителности в града (въпреки, че са пешеходни, но е готина атракция) - Trenino Barocco Noto. До скоро🫶🏻",https://www.facebook.com/photo.php?fbid=987759579805458&set=a.162314842349940&type=3,,,Photos from Dr. Modern Mommy's post,,,,,"1,151",1.12
Васил Терзиев,VassilTerzievZaSofia,100094567560038,POLITICIAN,BG,"Кмет на Столична община.
",2023-05-22 11:58:41,20284,31220,2024-02-28 17:59:25 EET,2024-02-28,17:59:25,Photo,941,791,80,26,20,0,22,1,0,1,,-,0,0,0,,https://www.facebook.com/100094567560038/posts/250714638090787,"Обещахме да няма повече ремонт на ремонтите. Софиянци не искат да виждат разкопана новата улица, само защото някой не е координирал работата под земята преди да бъде сложен асфалтът или тротоарът. Поисках днес от експлоатационните дружества да работят по нов модел при ремонтите в града - засилен синхрон, информираност, качествена работа и пълна прозрачност. Необходимо е да се синхронизират ремонтните дейности в града, както на всички експлоатационни дружества в София, така и с капиталовата програма, която се изпълнява от Столичната община. Предлагам в кратък срок информацията да бъде обвързана с нова дигитална платформа, обвързана с данните от комуналните дружества и Столичната община и да може лесно да се споделя с гражданите. При мен бяха ръководители и представители на дружествата „Софийска вода“ АД, „Топлофикация“ АД, „Електроразпределителни мрежи Запад“ ЕАД, „Овергаз“ и представители на други компании, предоставящи комунални услуги. Подчертах, че за мен и моя екип е изключително важно навременното информиране на гражданите. Софиянци трябва да знаят достатъчно рано къде ще започва някакъв ремонт. Информацията трябва да бъде ясна, достъпна на единна платформа и предоставена от всички дружества, за да не се разкопават после улици и тротоари, които са били обновени. За да се координира дейността по изготвянето на капиталовата програма, е нужно дружествата да поемат ангажимент всяка година да предават информация за планираните ремонти към Столичната община. Само така ще може дейностите по строителството да бъдат взаимно координирани и интегрирани в ГИС базираната платформа на СО преди изготвянето на капиталовата програма и бюджета на общината. Предложих да създадем система за информиране на всички инвестиционни предложения чрез дигитална платформа. Данните ще се картират и ще бъдат достъпни за районните администрации, дружествата, гражданите. Говорихме и за съдействието, което е нужно от дружествата, за проектите на районните кметове за изграждане и ремонт на тротоари. За мен е ключово дружествата да осигуряват техни представители на място, когато започва всеки обект. Често изходните данни за инфраструктурата на експлоатационните дружества не са актуални и това води до промени при строителните работи и при хода на реализация по обектите. И в крайна сметка до загуба на време. Искаме само едно - качествени строителни дейности и спазени срокове. От общината няма да допуснем компромиси с качеството и контрола.",https://www.facebook.com/photo.php?fbid=250712624757655&set=a.106498072512445&type=3,,,Photos from Васил Терзиев's post,,,,,941,1.11
Thrift Sheep,thriftsheep,100049820031275,BLOGGER,BG,Блог и подкаст за екологичен и здравословен начин на ж?,2017-05-10 19:36:02,3836,4137,2023-08-18 13:10:02 EEST,2023-08-18,13:10:02,Link,815,659,18,129,7,0,2,0,0,0,,-,0,0,0,,https://www.facebook.com/100049820031275/posts/858266762510650,"Уикендът иде, ако си в София - ето няколко идеи за ползотворна разходка 😊 Към предложенията за Витоша мога да ти подшушна Боянско езеро, хижа Червената шапчица или Балканити, или пък пътеките откъм Кладница и Х. Селимица, където не е чак такава навалици (колкото на Златните мостове) 🌲 Достъпни с автобуси 63 и 66 ✌🏼️ #идеизаразходка #локацииоколософия #софия #витоша",https://thriftsheep.com/2022/03/09/5-travel-sofia/,,,"5 МЕСТА ЗА РАЗХОДКА ОКОЛО СОФИЯ, ДОСТЪПНИ С ГРАДСКИ ТРАНСПОРТ И ВЛАК - Thrift Sheep","Идва уикенд, идва и по-топлото време от годината, а с тях неизменно идва въпросът – “А сега накъде?”. Е, аз …",,,,815,42.89
Evtindom,evtindom,100069836600293,REAL_ESTATE_DEVELOPER,BG,"Евтин дом става ""EXPERT HOUSE""
Летище София / Sofia Airport,SOFIAirport,100067062752747,TOPIC_AIRPORT,BG,Добре дошли на официалната страница на Летище София - най-голямото международно летище в България!,2012-02-01 19:13:58,23685,25613,2024-03-07 17:09:23 EET,2024-03-07,17:09:23,Photo,656,505,30,84,20,2,10,0,0,5,,-,0,0,0,N/A,https://www.facebook.com/100067062752747/posts/720895300155889,🌍 България в Шенген Уважаеми пътници", споделяме с вас важна новина! От 31 март 📅 България ще стане част от Шенгенското пространство, което ще улесни значително вашите пътувания от и до летище София. 📌 В следващите седмици до края на месеца ще ви предоставим всички детайли относно промените и организацията на пътуване. Моля, следете нашите уебсайт и фейсбук страница за актуална информация. ✅ Основната информация и промените, свързани с пътуванията до Шенген и извън него през летище София," ще бъдат достъпни тук 👉 https://shorturl.at/pzCY9:=:https://sofia-airport.eu/bg/na-letishteto/podgotovka-za-patuvane/ 🌟✈️🌍""",https://www.facebook.com/photo.php?fbid=720894906822595&set=a.503609778551110&type=3,,,,,,,,656,4.97,,,,,,,,,,,,,,,,,,,,
Център за градска мобилност,sofiaurbanmobilitycentre,100075738591406,TRANSPORTATION_SERVICE,BG,Добре дошли на официалната страница на Центъра за градска мобилност: http://www.sofiatraffic.bg,2011-12-30 10:13:36,23576,26273,2024-06-26 16:56:26 EEST,2024-06-26,16:56:26,Photo,634,362,205,18,10,5,12,1,18,3,,-,0,0,0,,https://www.facebook.com/100075738591406/posts/474773065057309,"🎯Новото ни мобилно приложение Sofia Plus стартира съвсем скоро. ✔С едно потребителско име и парола ползваш всички наши услуги като зареждане на превозни документи, проверка на разписания или заплащане на право за паркиране на автомобил. 📍Същите услуги са достъпни през обновения ни сайт. 🎯Нужно е само да си създадеш профил или да ползваш този, с който вече си регистриран в портала ни за превозни документи.",https://www.facebook.com/photo.php?fbid=474772918390657&set=a.251763130691638&type=3,,,Photos from Център за градска мобилност's post,,,,,634,2.23
Васил Терзиев,VassilTerzievZaSofia,100094567560038,POLITICIAN,BG,"Кмет на Столична община.
",2023-05-22 11:58:41,21174,32084,2024-04-18 17:17:24 EEST,2024-04-18,17:17:24,Photo,612,501,78,14,9,1,9,0,0,0,,-,0,0,0,,https://www.facebook.com/100094567560038/posts/280539958441588,"Разкопани улици, високи нива на прах и липсата на комуникация с жителите в кв. ""Драгалевци"" бяха едни от най-честите сигнали, които получаваме вследствие на проекта за изграждане на канализация. Тази седмица направих проверка на място със строителя, надзора и кмета на район “Витоша” арх. Зарко Клинков. Поставих въпроса за по-добра организация на строителните дейности и осигуряване на проходимост в квартала, за да няма повече улици като след бомбардировки. Поисках информация за причините за забавяне на обекта, както и дали общината може да помогне за решаване на проблема с достъпа и ускоряване на дейностите. Представител на надзора на обекта Иво Иванов посочи, че Общината е завишила изискванията към изпълнителя и оттук нататък всичко е в ръцете на строителя. Количеството прах обаче е значително и затова поисках допълнителни мерки: ➡️ приоритетно асфалтиране на улицата пред 160-та детска градина ➡️ пръскане с вода и ангажиране на повече водоноски на неасфалтираните улици Още в началото на мандата успяхме да спасим част от европейското финансиране за проекта, за да може изграждането да продължи. Към момента са изпълнени приблизително 9 километра канализация от дъждовната и 9 км от битовата канализация от общо 34 километра, което е приблизително половината от заложената в проекта канализация. Към момента на строителя са заплатени около 10 милиона лева или са разплатени ¼ от средствата по договора. Извършва се и проверка на изпълнените дейности. Строителната площадка е открита едва през март, защото приемникът, в който трябва да отиват водите в „Кръстова вада“ е бил изпълнен през февруари 2023 г. Изпълнението на приемника в ""Кръстова вада"" се е забавило поради намалени габарити на улиците и оттук намалени отстояния на подземната инфраструктура, което е наложило допълнително съгласуване на проектите с компетентните органи. Основното забавяне се получава от това, че има един единствен приемник за цялата канализация. Това, с което строителят не се е справил в първите три месеца от стартиране на строителния обект е да покрие по зададените в тръжната процедура брой екипи, които следва да работят едновременно. По време на строителните дейности е констатирано, че водопроводите са разположени хаотично на различни места - по средата на улицата, по тротоарите. Това е наложило пълна реконструкция и на водопровода, която се изпълнява за сметка на „Софийска вода“. Вторият елемент, който забавя дейностите, е наличието на нерегламентирани отточни канали в тротоарите, там където са ел. мрежите, което е недопустимо. 1. По отношение на това дали строителят ще търпи санкции за забавянето ние възприехме практиката при всяко плащане да удържаме максимално допустимата сума съгласно договора. В момента строителят получава при всяко плащане с 10 % по-малко от всяко дължимото плащане. 2. Поисках да се работи интензивно и да бъдат обезпечени обходни маршрути, за които гражданите да бъдат информирани. 3. Към момента по настояване на СО строителят е увеличил екипите, в сравнение с това, което е подал в тръжната процедура, с 30% и се работи интензивно. Въпреки това септември или октомври все още се очертава като изключително оптимистичен срок за приключване. 4. Районният кмет Зарко Клинков организира ежеседмични приемни, на които се оказва пълно съдействие на гражданите с информация за обходни маршрути, за срокове, в които ще бъдат изграждани канализационните трасета по конкретни улици и е осигурена техническа експертиза на гражданите, с цел тяхното улесняване за присъединяването на имотите им към новата канализационна мрежа. 5. Строителят осигурява физически придружител за незрящи хора, както и за хора с проблеми с двигателния апарат. 6. С вдигането на температурите са предприети мерки за ускоряване на асфалтирането на улиците и е осигурена допълнителна техника за водно оросяване с цел намаляване на запрашеността в квартала. 7. В договора е предвидено да се възстановят настилките по тротоарите, там където има пресичане. Кметът на района следва да се възползва и по програмата за цялостно реконструиране по тротоарите, за да бъде изпълнен обектът цялостно. Нови тротоари се правят в близост до детски градини, сгради за обществено обслужване, домове, в които са настанени възрастни хора. 8. Възложих на екипа и на главния архитект на София да съберат в ГИС- система инвестиционните намерения на всички дружества. По този начин ще могат да синхронизират намеренията си с другите експлоатационни дружества и да работят паралелно и последователно, за да не се разкопават новоизградени улици.",https://www.facebook.com/photo.php?fbid=280536328441951&set=a.106498082512444&type=3,,,Photos from Васил Терзиев's post,,,,,612,-1.38  
"https://pavelandreev.bg/subscription?fbclid=IwAR2XTOQnv8UQYaXvTDgApy-5R1GgmQz2XXZWkjDe8urkl8vShENfk73ygCM:=:https://pavelandreev.bg/subscription""",,,,550,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Спаси София,spasisofia,100069897522611,POLITICAL_ORGANIZATION,BG,"Спаси София е политическа партия, чиято основна цел е подобряването  качеството на живот в София
",2014-12-29 14:10:51,114662,130466,2023-10-23 15:01:18 EEST,2023-10-23,15:01:18,Photo,436,338,34,6,28,0,28,0,1,1,,-,0,0,0,,https://www.facebook.com/100069897522611/posts/639481461725099,"🚌 Спирките в София ще са: 👍Модерни - навесите ще са големи и с места за сядане, ефективно предпазващи пътниците при дъжд и слънце. 👍Достъпни - адаптирани за трудноподвижни и възрастни хора, вкл. с изграждане на високи перони до нивото на превозните средства, с цел удобно и лесно качване и слизане. 👍Безопасни - по булевардите с натоварено движение ще поставим специални бордюри, които спират и връщат обратно на пътното платно загубилите контрол автомобили, защитавайки хората по спирките. 👍С острови - ще премахнем всички трамвайни спирки, които свалят пътниците директно върху платното и ще изградим островни перони. ✅Стотици хиляди ползват градския транспорт всеки ден. Те заслужават удобни места за изчакване, а ние ще работим усърдно да се прекарва колкото се може по-малко време, чакайки превозното средство. 🗳8⃣5⃣ за удобни спирки в цяла София!",https://www.facebook.com/photo.php?fbid=639481448391767&set=a.411095284563719&type=3,,,,,,,,436,-1.42
